drug,disease,mesh_id,mesh_term,chembl_id,label,n_competitors,has_competitor,n_ct_completed,n_ct_terminated,n_ct_total,term_to_total_ratio,n_expand_terms,has_expand,n_pubmed,log_n_pubmed,has_pubmed,atc_level1,atc_level2
baricitinib,psoriasis,,,CHEMBL2105759,0,8,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,myeloproliferative disorder,,,CHEMBL2105759,0,7,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,systemic lupus erythematosus,D008180,"lupus erythematosus, systemic",CHEMBL2105759,0,6,1,2,2,4,0.5,9,1,32,3.4965075614664802,1,L,L04
baricitinib,myelofibrosis,,,CHEMBL2105759,0,6,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,alopecia areata,,,CHEMBL2105759,1,5,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,ulcerative colitis,D003093,"colitis, ulcerative",CHEMBL2105759,0,6,1,0,0,0,0.0,8,1,2,1.0986122886681098,1,L,L04
baricitinib,kidney disease,D007674,kidney diseases,CHEMBL2105759,0,6,1,0,0,0,0.0,0,0,1,0.6931471805599453,1,L,L04
baricitinib,graft versus host disease,D006086,graft vs host disease,CHEMBL2105759,0,3,1,1,0,1,0.0,8,1,4,1.6094379124341003,1,L,L04
baricitinib,dermatomyositis,D003882,dermatomyositis,CHEMBL2105759,0,3,1,1,0,1,0.0,8,1,13,2.6390573296152584,1,L,L04
baricitinib,crohn's disease,D003424,crohn disease,CHEMBL2105759,0,4,1,0,0,0,0.0,0,0,2,1.0986122886681098,1,L,L04
baricitinib,psoriatic arthritis,D015535,"arthritis, psoriatic",CHEMBL2105759,0,4,1,1,0,1,0.0,8,1,19,2.995732273553991,1,L,L04
baricitinib,hidradenitis suppurativa,,,CHEMBL2105759,0,4,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,liver disease,,,CHEMBL2105759,0,4,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,covid-19,D000086382,covid-19,CHEMBL2105759,1,3,1,0,0,0,0.0,0,0,56,4.04305126783455,1,L,L04
baricitinib,leukemia,,,CHEMBL2105759,0,4,1,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,acute myeloid leukemia,D015470,"leukemia, myeloid, acute",CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
baricitinib,atopic eczema,,,CHEMBL2105759,0,0,0,0,0,0,0.0,0,0,0,0.0,0,L,L04
